Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"Mental Health Foundation of New Zealand, National Information Service and Resource Centre","Other","Health","Active","","AMHF","1st floor, 81 New North Road, Eden Terrace, Auckland","PO Box 10 051, Dominion Road, Auckland - 1446","www.mentalhealth.org.nz","+64 9 300 7030","+64 9 300 7020","info@mentalhealth.org.nz","","Resource and Information Service","T","LIANZA, HealthSIG","Russell Tuffery","Information Officer","russell@mentalhealth.org.nz","+64 9 300 7020","+64 9 300 7035","Russell Tuffery","Information Officer","russell@mentalhealth.org.nz","+64 9 300 7035","","","","","","","F","T","T","Charter","T","14","20","14","14","","","20","25","20","20","Auckland","Auckland","-36.8661342096737","174.757852168553",
"Good Shepherd College, Colin Library","Tertiary","Theological","Active","","AMMS","20 Ponsonby Road, Ponsonby, Auckland","PO Box 3440, , Auckland - 1140","www.gsc.ac.nz","+64 9 361 1053","+64 9 361 1054","admin@gsc.ac.nz","","Colin Library, Good Shepherd College","F","","Carol Wills","Library Manager","carol@gsc.ac.nz","+64 9 361 1054","+64 9 361 1053","Carol Wills","Interloans Librarian","carol@gsc.ac.nz","+64 9 361 1053","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.8592810218355","174.752002476416",
"Musica Sacra","Other","Music Hire","Active","","AMS","105 The Drive, Epsom, Auckland","PO Box 44 108, Point Chevalier, Auckland - 1246","http://www.musicasacra.org.nz","+64 9 631 5260","+64 9 631 5260","librarian@musicasacra.org.nz","","","","","AMS Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Auckland","Auckland","","",
"National Audiology Centre Library","Other","Health","ClosedRef","","ANAC","98 Remuera Road, Remuera, Auckland","98 Remuera Road, Remuera, Auckland -","","","","","Library staffed part-time (Mondays 7:30am - 4:00pm only).","","F","","0","","","","","Letitia Nicolescu","Interloans Contact","letitian@adhb.govt.nz","+64 9 520 4009 x 741","","","","","","","F","F","F","","F","","","","","","","","","","","Auckland","Auckland","-36.8732017165017","174.781792555095",
"Catholic Diocese of Auckland Library","Tertiary","Theological","Active","","ANEW","Newman Hall, 16 Waterloo Quadrant, Auckland","Newman Hall, 16 Waterloo Quadrant, Auckland - 1010","www.spoke.net.nz/diocesanlibrary","+64 9 379 6424 x 723","+64 9 379 6426","l.lum@auckland.ac.nz","Non-charter libraries $20.00 + GST per item;
Non Te Puna interloan $20.00 + GST per item.","Eugene O'Sullivan Theological Library","T","","Louis Lum","Library Manager","l.lum@auckland.ac.nz","+64 9 379 6426","+64 9 379 6424","Noeline Champion","","eoslibrary@auckland.ac.nz","+64 9 379 6424 x 724","","","","","","","T","T","T","Charter","T","15","20","10","15","Reciprocal arrangements with members of ANZTLA","","25","35","15","20","Auckland","Auckland","-36.8488865731659","174.77078186551",
"NZ Pops Orchestra","Other","Music Hire","Active","","ANZP","55 Everard Avenue, Army Bay, Whangaparaoa","PO Box 35884, , Auckland - 0753","www.newzealandpops.co.nz","+64 9 428 7558","","rita.Paczian@worldnet.co.nz","","","","","ANZP Hire","Manager","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Whangaparaoa","","","",
"Auckland Libraries","Public","public library","Active","","AP","Auckland Libraries, 44-46 Lorne Street, Auckland","Auckland Libraries, Private Bag 92300, Auckland - 1140","www.aucklandlibraries.govt.nz","09 301 0101","","interloans@aucklandcouncil.govt.nz","","","T","","Allison Dobbie","Manager - Libraries and Information","allison.dobbie@aucklandcouncil.govt.nz","","+64 9 354 8754","Alice Mendoza","Information Supply Librarian","interloans@aucklandcouncil.govt.nz","+64 9 307 7790","","","","","","","","T","T","Charter","T","15.5","31","15.5","15.5","Orchestral sets/Industrial standards collection:$25.80 std / $46.60 urg (+copyright fee for copies to retain where applicable).  Additional charges: (std or urgent), large choral sets $10.30 shipping surcharge, $10.30 invoice fee for supply to non-IBS libraries","We accept payment by IFLA vouchers, Credit Card and IBS (Australian Libraries); additional shipping charges may apply for non-Australian libraries","36.2","51.75","36.2","36.2","Auckland","Auckland","-36.8515","174.765160388576",
"Auckland Libraries, Information Supply","Other","Public Library","SeeRef","","APBIS",", , Auckland",", , Auckland -","","","","","Requests for supply of Auckland City Library material are processed by AP.","Auckland Libraries, Information Supply Service","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","15","30","15","15","Orchestral sets / industrial standards collection: $25 std / $45 urg (+ copyright fee for copies to retain where applicable).  Additional charges; (std or urgent), large choral sets $10 shipping surcharge, $10 invoice fee for supply to non-IBS libraries","We accept payment by IFLA vouchers, Credit Card and IBS (Australian Libraries); additional shipping charges may apply for non-Australian libraries.","35","50","35","35","Auckland","Auckland","-36.8514","174.765160388576",
"Pattle Delamore Partners Ltd Library","Other","Business","Active","","APDP","Level 4 PDP House, 235 Broadway, Newmarket, Auckland","PO Box 9528, Newmarket, Auckland -","www.pdp.co.nz","+64 9 523 6900","+64 9 523 6901","library@pdp.co.nz","","","T","","Library Manager","Library Manager / Interloans Contact","library@pdp.co.nz","+64 9 523 6901","+64 9 523 6924","Library Manager","Library Manager / Interloans Contact","library@pdp.co.nz","+64 9 523 6924","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.8695567144513","174.777671492149",
"DLA Phillips Fox (Auckland) Library","Other","Business","Active","","APFL","DLA Phillips Fox Tower, 209 Queen Street,, Auckland","PO Box 160, , Auckland - 1010","www.dlapf.com","+64 9 303 2019","+64 9 303 2311","anne.paton@dlapf.com","","Phillips Fox (Auckland) Library","F","","Anne Paton","Legal Information Manager (NZ) & Interloans Contact","anne.paton@dlapf.com","+64 9 303 3211","+64 9 300 3833","Anne Paton","Legal Information Manager (NZ) & Interloans Contact","anne.paton@dlapf.com","+64 9 300 3833","","","","","","","F","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","-36.8494","174.7649",
"Problem Gambling Foundation of New Zealand","Other","Other","Active","","APGF","Floor 1, 128 Khyber Pass Road, Grafton, Auckland","P.O. Box 8021, Symonds Street, Auckland -","www.pgfnz.org.nz/library/","+64 9 369 0619","","mandy.scott@pgfnz.org.nz","","","F","","Mandy Scott","","mandy.scott@pgfnz.org.nz","+64 9  368 1540","+64 9 369 0619","Mandy Scott","","mandy.scott@pgfnz.org.nz","+64 9 369 0619","","","","","","","","F","F","tba","F","","","","","","","","","","","Auckland","Auckland","","",
"Pasifika Education Centre","Other","Education","Active","","APIE","Top Floor, Building 4, 17 Lambie Drive, Auckland","PO Box 22 654, Otahuhu, Auckland - 1640","www.pec.ac.nz","+64 9 270 0684","+64 9 276 3656","","Formerly PIERC Education Learning Resource Centre (LRC)","","T","Tertiary Education Libraries","Pauline Winter","Centre Manager","","","+64 9 270 0684","Pauline Winter","Centre Manager","","+64 9 270 0684","","","","","","","T","F","T","Non-Charter","","0","","0","","All charges: actual postage cost on approval from the management","","","","","","Auckland","Auckland","-36.9579402623137","174.852901025462",
"Auckland Libraries Corporate Information Service","Other","Public Library","Active","Nga Whare Matauranga o Tamaki Makarau","APMRL","Level 9, Bledisloe Building, 24 Wellesley St, Auckland","Private Bag 92300, , Auckland - 1142","www.aucklandlibraries.govt.nz","+64 9 337 7054","","corporatelibrary@aucklandcouncil.govt.nz","Requests for Auckland City Library material are processed by AP.","Auckland City Libraries, LoGIS","T","","Allison Dobbie","Group Manager","interloans@aucklandcouncil.govt.nz","+64 9 307 7741","+64 9 307 7734","Sue Barnaby","Corporate Librarian","corporatelibrary@aucklandcouncil.govt.nz","+64 9 484 6419","","Truby King","","","+64 9 262 8900","","F","T","T","Charter","T","15.5","31","15.5","15.5","","Credit Card and IBS (Australian Libraries); additional shipping charges may apply for non-Australian libraries.","36.2","51.75","36.2","36.2","Auckland","Auckland","-36.8514128721736","174.765160388576",
"PriceWaterhouseCoopers (Akl) Information and Research Services","Other","Business","Active","","APRI","188 Quay Street, , Auckland","Private Bag 92162, , Auckland - 1142","","+64 9 355 8685","+64 9 355 8015","kate.a.innes-monsalve@nz.pwc.com","","","T","SLIS NORTH","Kate Innes-Monsalve","Research Specialist","kate.a.innes-monsalve@nz.pwc.com","+64 9 355 8015","+64 9 355 8685","Kate Innes-Monsalve","Research Specialist","kate.a.innes-monsalve@nz.pwc.com","+64 9 355 8685","","","","","","","F","T","T","Non-Charter","T","","","","","","","","","","","Auckland","Auckland","-36.8427","174.764442151032",
"Massey University, Albany Campus Library","Tertiary","University","Active","","APU","Gate 1, Dairy Flat Highway, Albany, Auckland","Private Bag 102 904, North Shore Mail Centre, Auckland - 0745","library.massey.ac.nz","+64 9 414 0808","+64 9 414 0809","intloan@massey.ac.nz","Any queries for interlibrary loan supply, please contact the Turitea Campus LIbrary intloan@massey.ac.nz  or phone 06 3569099 ext 7671","Albany Campus Library, Massey University","T","","Amanda Cooper","Campus Librarian","a.l.cooper@massey.ac.nz","+64 9 414 0809","+64 9 414 0800 x 41076","Interloans Librarian","Interloans Librarian","intloan@massey.ac.nz","+64 9 414 0809","","","","","","","F","T","T","Charter","T","14","14","14","14","Turitea Library - see entry for PU charges apply to Charter/Te Puna ILL users only. Non Charter/non Te Puna ILL charges: $20 per loan/copy; urgent loan/copy $40","","34","34","34","34","Auckland","Auckland","-36.8484","174.7349",
"Auckland Museum Library","Other","Museum","Active","Te Paataka Maataapuna, Tamaki Paenga Hira","AR","Domain Drive, Parnell, Auckland","Private Bag 92 018, Parnell, Auckland - 1142","www.aucklandmuseum.com","+64 9 309 0443","+64 9 379 9956","library@aucklandmuseum.com","","","T","","Michaela O'Donovan","Head of Museum Library and Enquiry Services","modonovan@aucklandmuseum.com","+64 9 379 9956","+64 9 306 7062","Diane Gordon","Interloans Contact","library@aucklandmuseum.com","+64 9 309 0443 x 681","","","","","","","T","T","T","Charter","T","20","20","20","20","Urgent copy/loan: Standard charge plus $20 extra /per item","","40","40","40","40","Auckland","Auckland","-36.8605","174.7778",
"Russell McVeagh (Akl) Library","Other","Law","Active","","ARU","48 Shortland Street, , Auckland","PO Box 8, , Auckland - 1140","","+64 9 367 8000","+64 9 367 8599","helen.pearce@russellmcveagh.com","","","T","Law Libs","Helen Pearce","Information Resources Manager","helen.pearce@russellmcveagh.com","+64 9 367 8599","+64 9 367 8028","Kirsty Lane","Interloans Contact","Kirsty.Lane@russellmcveagh.com","+64 9 367 8351","","","","","","","F","T","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.847","174.768276191094",
"Minter Ellison Rudd Watts Research & Information Service (Akl)","Other","Law","Active","","ARWS","Bank of New Zealand Tower, 125 Queen Street, Auckland","PO Box 3798, , Auckland - 1140","www.minterellison.co.nz","+64 9 353 9700","+64 9 353 9701","research@minterellison.co.nz","","","T","NZLLG (New Zealand Law Librarian's Group)","Beth Janes","Manager","beth.janes@minterellison.co.nz","+64 9 353 9701","+64 9 353 9830","Beth Janes","Manager","beth.janes@minterellison.co.nz","+64 9 353 9830","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.8465","174.7656",
"The New Zealand Institute for Plant & Food Research Limited Mt Albert Library","Other","Research","Active","","AS","120 Mt Albert Road, Mt Albert, Auckland","Private Bag 92 169, Auckland Mail Centre, Auckland - 1142","www.plantandfood.co.nz","+64 9 925 7081","+64 9 925 7001","library.auckland@plantandfood.co.nz","","","T","","Jane Clayton","Library Resource Manager","jane.clayton@plantandfood.co.nz","+64 9 925 7001","+64 9 925 7010","Sophia Koropas","Interloans Contact","library.auckland@plantandfood.co.nz","+64 9 925 7081","","","","","","","T","T","T","Charter","T","15","30","15","15","","","35","50","35","35","Auckland","Auckland","-36.8913956714348","174.724730425499",
"Safekids Information and Resource Centre","","Other","Active","","ASAFE","5th Floor, Cornwall Complex, 40 Claude Rd, Auckland","PO Box 26488, Epsom, Auckland - 1344","www.safekids.org.nz","+64 9 631 0724","+64 4 630 9961","wcarter@adhb.govt.nz","Safekids New Zealand is a service of Starship Children's Health and is mainly funded by the Ministry of Health. The subject focus of the Safekids Information and Resource Centre is the prevention of unintentional death and injury to children 0-14 years.","","","","Wayne Carter","Information Specialist","wcarter@adhb.govt.nz","","+64 9 631 0724 x27394","Wayne Carter","Information Specialist","wcarter@adhb.govt.nz","+64 9 631 0724 x27394","","","","","","","","","","tba","","","","","","","","","","","","Auckland","Auckland","","",
"ASB Information Centre","Other","Business","Active","","ASB","Level 5, ASB Bank, 135 Albert Street, Auckland","PO Box 35, , Auckland - 1010","","+64 9 374 8262","+64 9 374 8526","informationcentre@asb.co.nz","","ASB Bank Information Centre","T","SLIS (Specialist Libraries and Information Services)","Rachel Callander","Manager","informationcentre@asb.co.nz","+64 9 374 8526","+64 9 374 8262","Fiona Diesch","Interloans Contact","","+64 9 369 4072","","","","","","","F","F","T","Non-Charter","F","","","","","","","","","","","Auckland","Auckland","-36.8501085200828","174.762816810581",
"South Auckland Choral Society","Other","Music Hire","Active","","ASCS","249 Fitzgerald Road, RD 1, Auckland","PO Box 72 329, Papakura, Auckland - 2244","www.southaucklandchoral.co.nz","+64 9 298 6634","","info@southaucklandchoral.co.nz","Other contact details:
Lorna Clauson (Secretary)
1/32 Wellington St
Papakura
Auckland 2110
Ph: 09 298 3536

Rosalie Smith
Ph: 09 267 4454
rosalie-s@clear.net.nz","","","","ASCS Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Auckland","Auckland","","",
"Simpson Grierson Auckland Research Service","Other","Law","Active","","ASG","88 Shortland Street, , Auckland","Private Bag 92 518, , Auckland - 1141","www.simpsongrierson.com","+64 9 358 2222","+64 9 307 0331","Research.Services@simpsongrierson.com","","","T","NZLLG","Chris Owen","Research Services Manager","christopher.owen@simpsongrierson.com","+64 9 307 0331","+64 9 358 2222","Rosemary Morgan","Interloans Librarian","rosemary.morgan@simpsongrierson.com","+64 9 977 5480","","","","","","","T","F","T","Charter","F","15","45","15","45","Extra urgent charge for fax delivery $15","Delivery charges extra","15","60","15","60","Auckland","Auckland","-36.9290395215743","174.637330871118",
"John Kinder Theological Library","Tertiary","Theology","Active","","ASJ","202 St Johns Road, Meadowbank, Auckland","Private Bag 28 907, Remuera, Auckland - 1541","www.kinderlibrary.ac.nz","+64 9 521 2725","+64 9 521 2420","library@kinderlibrary.ac.nz","Free to theological libraries.","St John's Theological College Kinder Library","T","","Judith Bright","Librarian","judith.bright@kinderlibrary.ac.nz","","+64 9 528 3950","Helen Greenwood","Interloans Librarian","helen.greenwood@kinderlibrary.ac.nz","+64 9 521 2725 x 823","","","","","","","F","T","T","Charter","T","14","14","14","14","Free to theological libraries.","","14","14","14","14","Auckland","Auckland","-36.8733103763897","174.837394749095",
"National Library of New Zealand -  Auckland Service Centre","Other","National Library","Active","","ASL","8 Stanley Street, Parnell, Auckland","Private Bag 99 936, Newmarket, Auckland - 1149","","+64 9 365 8800","+64 9 365 8823","akreq@dia.govt.nz","","National Library of New Zealand, Auckland Centre","T","","Julia Wilson","Library Manager","julia.wilson@dia.govt.nz","+64 9 365 8823","+64 9 365 8838","Suzanne Hardy","Interloans Contact","suzanne.hardy@dia.govt.nz","+64 9 365 8831","","","","","","","F","T","T","Charter","T","0","16","0","14","Urgents not available","Urgents not available","","","","","Auckland","Auckland","-36.8723405991744","174.780457841231",
